"distance","taxonomic_level","comparison","stratum","group_variable","permanova_R2","permanova_p","betadisper_F","betadisper_p","dispersion_heterogeneous","n_samples","n_groups","error"
"bray","ASV","timepoint_global",,"timepoint",0.246558996743663,0.001,13.4035923679847,0.001,TRUE,133,3,
"bray","ASV","diet_time_interaction",,"diet_time_beta",0.302594028300382,0.001,6.51168454210171,0.001,TRUE,133,9,
"bray","ASV","hydro_time_interaction",,"hydro_time_beta",0.287324967295376,0.001,9.49155885294585,0.001,TRUE,133,6,
"bray","ASV","diet_within_timepoint","D30","diet_code",0.098231419860451,0.016,4.17408580792657,0.03,TRUE,44,3,
"bray","ASV","hydro_within_timepoint","D30","hydro_group",0.0748336848090047,0.011,7.95630511445786,0.008,TRUE,44,2,
"bray","ASV","time_within_diet","Ctrl","timepoint",0.276063044931592,0.001,10.2508391490216,0.001,TRUE,45,3,
"bray","ASV","time_within_diet","BL15","timepoint",0.280765423202405,0.001,4.35401377607048,0.019,TRUE,45,3,
"bray","ASV","time_within_diet","BL30","timepoint",0.317668456143944,0.001,9.85942904863873,0.001,TRUE,43,3,
"bray","ASV","ctrl_hydro_feed_global",,"ctrl_hydro_feed",0.0533032315651751,0.001,11.7138221586202,0.001,TRUE,136,3,
"bray","Genus","timepoint_global",,"timepoint",0.28845505414255,0.001,10.8745008646877,0.001,TRUE,133,3,
"bray","Genus","diet_time_interaction",,"diet_time_beta",0.351066281093677,0.001,8.90707948638688,0.001,TRUE,133,9,
"bray","Genus","hydro_time_interaction",,"hydro_time_beta",0.337180048578766,0.001,13.4892899448758,0.001,TRUE,133,6,
"bray","Genus","diet_within_timepoint","D30","diet_code",0.131830698837863,0.009,12.8251222484808,0.001,TRUE,44,3,
"bray","Genus","hydro_within_timepoint","D30","hydro_group",0.108209794777318,0.004,23.2398425097248,0.001,TRUE,44,2,
"bray","Genus","hydro_within_timepoint","D07","hydro_group",0.0609785008222601,0.044,5.87625310869847,0.029,TRUE,45,2,
"bray","Genus","time_within_diet","Ctrl","timepoint",0.325726279661322,0.001,40.1400849692424,0.001,TRUE,45,3,
"bray","Genus","time_within_diet","BL15","timepoint",0.312919342800219,0.001,0.533828800250021,0.588,FALSE,45,3,
"bray","Genus","time_within_diet","BL30","timepoint",0.391481567724191,0.001,2.79642953212534,0.086,FALSE,43,3,
"bray","Genus","ctrl_hydro_feed_global",,"ctrl_hydro_feed",0.0604892966440091,0.001,6.1730048096818,0.003,TRUE,136,3,
"aitchison","ASV","timepoint_global",,"timepoint",0.176936386659936,0.001,71.3668290253791,0.001,TRUE,133,3,
"aitchison","ASV","diet_time_interaction",,"diet_time_beta",0.230218363060861,0.001,19.5964296159669,0.001,TRUE,133,9,
"aitchison","ASV","hydro_time_interaction",,"hydro_time_beta",0.212895782627069,0.001,29.9143693332636,0.001,TRUE,133,6,
"aitchison","ASV","diet_within_timepoint","D30","diet_code",0.0928536340812362,0.006,3.0255995824476,0.057,FALSE,44,3,
"aitchison","ASV","hydro_within_timepoint","D30","hydro_group",0.0575074625630701,0.007,5.05483069159214,0.03,TRUE,44,2,
"aitchison","ASV","time_within_diet","Ctrl","timepoint",0.248439928282432,0.001,51.557428404528,0.001,TRUE,45,3,
"aitchison","ASV","time_within_diet","BL15","timepoint",0.177010183497616,0.001,10.3562427940094,0.001,TRUE,45,3,
"aitchison","ASV","time_within_diet","BL30","timepoint",0.213274371500939,0.001,22.8926159638166,0.001,TRUE,43,3,
"aitchison","ASV","ctrl_hydro_feed_global",,"ctrl_hydro_feed",0.0673196198790264,0.001,2.2060671401107,0.119,FALSE,136,3,
"aitchison","Genus","timepoint_global",,"timepoint",0.234661236422006,0.001,70.9755298642981,0.001,TRUE,133,3,
"aitchison","Genus","diet_time_interaction",,"diet_time_beta",0.289001331194418,0.001,19.5075063565698,0.001,TRUE,133,9,
"aitchison","Genus","hydro_time_interaction",,"hydro_time_beta",0.273044739735951,0.001,30.3520723378861,0.001,TRUE,133,6,
"aitchison","Genus","diet_within_timepoint","D30","diet_code",0.119310979181436,0.003,2.46249264904511,0.104,FALSE,44,3,
"aitchison","Genus","hydro_within_timepoint","D30","hydro_group",0.0862638032334718,0.002,4.70383380208277,0.036,TRUE,44,2,
"aitchison","Genus","time_within_diet","Ctrl","timepoint",0.288518479988153,0.001,38.5443088320654,0.001,TRUE,45,3,
"aitchison","Genus","time_within_diet","BL15","timepoint",0.25704205059565,0.001,19.5344654564349,0.001,TRUE,45,3,
"aitchison","Genus","time_within_diet","BL30","timepoint",0.273504842606319,0.001,16.7870388886092,0.001,TRUE,43,3,
"aitchison","Genus","ctrl_hydro_feed_global",,"ctrl_hydro_feed",0.0810859876318086,0.001,2.16667598597581,0.116,FALSE,136,3,
